1	1782	2489	594	859	1105	254	690	1118	2600	3178	1659	2148	958	1179	1575	2970
2	2880	580	1118	1124	1766	2817	2652	1105	310	1136	2736	1202	2513	1128	1121	1109
3	2953	1109	2665	1107	254	577	1281	1280	3430	1175	1782	1328	3302	1789	2652	580
4	1125	3461	2174	1849	2740	2489	1112	1289	254	1107	1109	3295	3236	467	1026	1121
5	2804	2566	3544	2163	2702	2786	2838	2481	2652	2008	1051	347	1159	2513	859	848
6	2598	1538	1920	3458	1901	1205	3444	17	1337	368	1121	979	3302	852	1827	2858
7	1849	107	576	444	2375	1479	3551	628	3342	1818	3511	1132	1107	429	467	1179
8	3044	2375	107	2709	2489	3042	1849	3187	576	384	467	1446	848	3249	108	1121
9	860	50	2652	1067	580	1124	1143	514	3702	3670	1132	2962	1121	852	3509	1782
10	1955	1421	2940	2587	467	1853	2652	1191	538	2121	3509	1121	1769	803	584	707
11	2558	1174	1018	3187	1261	932	2890	1564	594	2652	50	580	310	3513	574	1109
12	1105	108	1143	859	803	1109	3652	1132	767	1212	3042	874	1505	2415	936	3543
13	1479	2375	1295	50	1341	1849	580	310	514	1026	288	3504	1107	1235	1108	1200
14	2489	3127	3384	3342	2749	2491	2786	2376	2652	2622	2713	1803	2820	2766	2054	1789
15	3073	2491	2481	2940	2793	2503	2502	2008	3302	2652	2622	2962	1789	3190	1109	712
16	2682	2804	2518	2765	2566	2163	2481	2495	2793	2376	3284	1546	2360	1178	2442	260
17	3634	3278	1818	3509	3504	3385	3342	2354	1179	1121	1246	1615	1483	2548	1097	1105
18	1907	1842	358	1981	1920	1960	2593	254	1004	1026	3665	1270	2415	2183	283	842
19	2782	1186	1149	1125	1108	1849	444	2489	1107	1109	254	1935	1121	514	580	2333
20	3476	1358	1557	1744	2375	1733	107	444	576	628	69	3618	3342	47	1486	1849
21	2163	2496	2789	2776	2557	1	1183	1839	1509	3045	3532	1121	3463	572	2497	2840
22	2652	2824	1296	1060	732	628	3385	3075	3511	3342	1125	108	1121	2774	1476	1107
23	2741	1084	3509	1818	3342	891	2789	2652	3323	1158	422	3467	580	848	191	2227
24	3294	2591	1994	1197	1168	2587	1216	1008	1131	1179	1296	1575	355	1619	1789	3466
25	2378	2297	2505	3384	2475	3476	3342	2512	2508	217	2163	2481	1849	2427	1109	2064
26	1787	102	2163	2079	511	516	328	1564	2652	310	1	3026	467	498	2708	580
27	3204	528	1161	1191	891	2741	1157	2652	3489	1818	1159	1576	3354	1824	292	803
28	254	580	1107	1119	2711	2886	2675	1832	2593	2702	1121	441	1108	1200	841	1105
29	1115	50	1136	2558	2459	528	1161	310	2460	803	3141	254	1059	1631	2174	2887
30	1849	1124	580	2940	1422	514	1743	17	310	3665	3697	1026	2350	2858	822	1197
31	2456	1053	1357	891	3434	628	3275	467	2741	2715	1121	1060	2174	3449	2729	897
32	1841	260	3323	538	3544	1158	47	2652	3198	3578	3509	1777	2886	2858	467	1619
33	3190	844	2652	803	1109	310	580	594	1136	1107	3166	2613	1121	2886	514	1571
34	1187	2512	1168	2711	2132	1	1179	2652	1067	709	3000	1026	442	1716	1575	2240
35	1085	695	39	2204	2652	2868	348	2480	774	2050	150	1109	1658	842	808	1025
36	1051	2502	2652	1304	2163	1728	2484	2994	1	2496	1026	3076	1179	2470	1844	2061
37	901	3329	3578	628	3619	467	3061	2587	47	2944	1818	1121	591	1108	3169	2129
38	348	368	1991	243	787	218	39	17	259	1295	2204	518	347	477	2858	574
39	2506	2786	2481	2622	2652	1051	2376	2502	993	2309	1585	1105	310	1486	1848	1575
40	1196	1051	2174	1108	1163	1107	1171	909	1115	859	1109	511	3024	1121	860	2330
41	1508	2146	650	1522	1552	1107	1121	254	2427	1575	1887	2991	107	1242	969	518
42	1026	3295	528	1162	1121	1179	576	254	714	1197	2427	1048	347	2326	1105	2709
43	2385	2508	2401	2404	2177	3073	2786	2793	2503	2502	779	1108	1216	2179	1782	347
44	1183	310	1109	514	3578	3476	628	3513	3504	3551	3509	1203	997	1121	966	2279
45	39	1153	3059	856	909	855	854	868	3444	3021	1140	2893	514	1769	1098	860
46	832	1803	1927	1805	1250	1794	1793	357	1790	1791	1792	1980	3693	1804	2506	1806
47	594	1777	1156	2600	1119	803	36	1132	310	580	514	842	1018	1105	2214	57
48	3556	3384	3376	3385	3322	3551	3342	3504	3652	1972	539	1874	1105	65	556	1108
49	1067	2557	154	3543	628	3513	3342	3509	3551	1818	514	467	2886	1454	2427	543
50	628	3278	3618	3277	3509	1980	2652	1470	3551	3323	842	1828	511	3160	2146	23
51	3320	3061	3355	3578	3551	3379	3618	3323	2944	3378	3543	1241	1575	3295	1486	2103
